year,group,team1,team2,team3,team4
2015,A,England,Kamerun,Schottland,Trinidad und Tobago
2015,B,Italien,Republik Korea,Kroatien,Chile
2015,C,Spanien,Brasilien,Costa Rica,Bosnien und Herzegowina
2015,D,Uruguay,Ghana,Schweden,Australien
2015,E,Kolumbien,Nigeria,Neuseeland,Russland
2015,F,Deutschland,Schweiz,Japan,Elfenbeinküste
2015,G,Argentinien,Algerien,Portugal,Mexiko
2015,H,Niederlande,Ecuador,USA,Frankreich
2018,A,Marokko,Kolumbien,Nordirland,Russland
2018,B,Belgien,Chile,Kamerun,Schottland
2018,C,Argentinien,Republik Korea,Mexiko,Serbien
2018,D,Polen,Senegal,Frankreich,Neuseeland
2018,E,Deutschland,Nigeria,Australien,Dänemark
2018,F,Portugal,Kroatien,Uruguay,Ägypten
2018,G,Brasilien,Schweden,Japan,England
2018,H,Spanien,Costa Rica,Schweiz,Saudi Arabien
2019,A,Australien,Russland,Chile,Neuseeland
2019,B,Uruguay,England,Nordirland,USA
2019,C,Brasilien,Portugal,Kamerun,Wales
2019,D,Frankreich,Schottland,Schweiz,Marokko
2019,E,Kroatien,Nigeria,Österreich,Kolumbien
2019,F,Spanien,Argentinien,Costa Rica,Japan
2019,G,Deutschland,Republik Korea,Ghana,Mexiko
2019,H,Belgien,Senegal,Saudi Arabien,Niederlande
2020,A,Kanada,Wales,Uruguay,Schottland
2020,B,Brasilien,Kroatien,Costa Rica,Senegal
2020,C,Portugal,Dänemark,Tunesien,IR Iran
2020,D,Niederlande,Neuseeland,USA,Argentinien
2020,E,Spanien,Australien,Mexiko,Algerien
2020,F,Kolumbien,Japan,Jamaika,Deutschland
2020,G,Italien,Ukraine,Nigeria,Venezuela
2020,H,Belgien,Republik Korea,Marokko,England
2022,A,Portugal,Algerien,Uruguay,Niederlande
2022,B,Brasilien,Nigeria,IR Iran,Kroatien
2022,C,England,Senegal,Wales,Kolumbien
2022,D,Argentinien,Neuseeland,Deutschland,Serbien
2022,E,Frankreich,Kanada,Elfenbeinküste,Ecuador
2022,F,Spanien,Australien,Dänemark,Peru
2022,G,Belgien,USA,Republik Korea,Marokko
2022,H,Italien,Mexiko,Schweiz,Japan
2025,A,Kolumbien,Marokko,Italien,Mexiko
2025,B,Spanien,Republik Korea,Mali,Dänemark
2025,C,Brasilien,IR Iran,Neuseeland,IR Iran
2025,D,Portugal,Venezuela,Österreich,Kanada
2025,E,Deutschland,Australien,Belgien,Ecuador
2025,F,Argentinien,Ägypten,Schweiz,Japan
2025,G,England,Senegal,Uruguay,Griechenland
2025,H,Frankreich,Algerien,USA,Niederlande