country,jahr,type,texture
ar,2018,home,argh18.png
ar,2018,away,arga18.png
ar,2019,home,argh19.png
ar,2019,away,arga19.png
ar,2025,home,argh25.png
ar,2025,away,arga25.png
co,2018,home,colh18.png
co,2018,away,cola18.png
co,2019,home,colh19.png
co,2019,away,cola19.png
co,2020,home,colh20.png
co,2020,away,cola20.png
co,2022,home,colh22.png
co,2022,away,cola22.png
co,2025,home,colh25.png
co,2025,away,cola25.png
jp,2018,home,jpnh18.png
jp,2018,away,jpna18.png
jp,2019,home,jpnh19.png
jp,2025,home,jpnh25.png
pt,2022,home,porh22.png
pt,2022,away,pora22.png
ir,2025,home,irnh25.png
ir,2025,away,irna25.png
ir,2022,home,irnh22.png
ir,2022,away,irna22.png
ar,2022,home,argh22.png
ar,2022,away,arga22.png
ma,2018,home,marh18.png
ma,2019,home,marh19.png
ma,2019,away,mara19.png
ma,2022,home,marh22.png
ma,2022,away,mara22.png
ma,2025,home,marh25.png
ma,2025,away,mara25.png
fr,2018,home,frah18.png
fr,2019,home,frah19.png
fr,2022,home,frah22.png
fr,2025,home,frah25.png
de,2018,home,gerh18.png
de,2018,away,gera18.png
de,2019,home,gerh19.png
de,2019,away,gera19.png
de,2022,home,gerh22.png
de,2022,away,gera22.png
de,2025,home,gerh25.png
de,2025,away,gera25.png
mx,2018,home,mexh18.png
mx,2018,away,mexa18.png
mx,2019,home,mexh19.png
mx,2019,away,mexa19.png